Authors,Source,Title,Year,Ni (at.%),Ti (at.%),ev/a (Number of Valence Electrons),composition,Hf (at.%)
D. Coughlin; L. Casalena; F. Yang; R. Noebe and M. Mills,Journal of Materials Science,Microstructure–property relationships in a high-strength 51Ni–29Ti–20Hf shape memory alloy,2016.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
D. Coughlin; L. Casalena; F. Yang; R. Noebe and M. Mills,Journal of Materials Science,Microstructure–property relationships in a high-strength 51Ni–29Ti–20Hf shape memory alloy,2016.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
D. Coughlin; L. Casalena; F. Yang; R. Noebe and M. Mills,Journal of Materials Science,Microstructure–property relationships in a high-strength 51Ni–29Ti–20Hf shape memory alloy,2016.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
D. Coughlin; L. Casalena; F. Yang; R. Noebe and M. Mills,Journal of Materials Science,Microstructure–property relationships in a high-strength 51Ni–29Ti–20Hf shape memory alloy,2016.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
D. Coughlin; L. Casalena; F. Yang; R. Noebe and M. Mills,Journal of Materials Science,Microstructure–property relationships in a high-strength 51Ni–29Ti–20Hf shape memory alloy,2016.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
D. Coughlin; L. Casalena; F. Yang; R. Noebe and M. Mills,Journal of Materials Science,Microstructure–property relationships in a high-strength 51Ni–29Ti–20Hf shape memory alloy,2016.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
E. Y. Panchenko; Y. I. Chumlyakov; N. Y. Surikov; A. Tagiltsev; N. Vetoshkina; K. Osipovich; H. Maier and H. Sehitoglu,Russian Physics Journal,Orientation Dependence of Functional Properties in Heterophase Single Crystals of the Ti36. 5Ni51. 0Hf12. 5 and Ti48. 5Ni51. 5 Alloys,2016.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Y. Panchenko; Y. I. Chumlyakov; N. Y. Surikov; A. Tagiltsev; N. Vetoshkina; K. Osipovich; H. Maier and H. Sehitoglu,Russian Physics Journal,Orientation Dependence of Functional Properties in Heterophase Single Crystals of the Ti36. 5Ni51. 0Hf12. 5 and Ti48. 5Ni51. 5 Alloys,2016.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Y. Panchenko; Y. I. Chumlyakov; N. Y. Surikov; A. Tagiltsev; N. Vetoshkina; K. Osipovich; H. Maier and H. Sehitoglu,Russian Physics Journal,Orientation Dependence of Functional Properties in Heterophase Single Crystals of the Ti36. 5Ni51. 0Hf12. 5 and Ti48. 5Ni51. 5 Alloys,2016.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Y. Panchenko; Y. I. Chumlyakov; N. Y. Surikov; A. Tagiltsev; N. Vetoshkina; K. Osipovich; H. Maier and H. Sehitoglu,Russian Physics Journal,Orientation Dependence of Functional Properties in Heterophase Single Crystals of the Ti36. 5Ni51. 0Hf12. 5 and Ti48. 5Ni51. 5 Alloys,2016.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Y. Panchenko; Y. I. Chumlyakov; N. Y. Surikov; A. Tagiltsev; N. Vetoshkina; K. Osipovich; H. Maier and H. Sehitoglu,Russian Physics Journal,Orientation Dependence of Functional Properties in Heterophase Single Crystals of the Ti36. 5Ni51. 0Hf12. 5 and Ti48. 5Ni51. 5 Alloys,2016.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Y. Panchenko; Y. I. Chumlyakov; N. Y. Surikov; A. Tagiltsev; N. Vetoshkina; K. Osipovich; H. Maier and H. Sehitoglu,Russian Physics Journal,Orientation Dependence of Functional Properties in Heterophase Single Crystals of the Ti36. 5Ni51. 0Hf12. 5 and Ti48. 5Ni51. 5 Alloys,2016.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Y. Panchenko; Y. I. Chumlyakov; N. Y. Surikov; A. Tagiltsev; N. Vetoshkina; K. Osipovich; H. Maier and H. Sehitoglu,Russian Physics Journal,Orientation Dependence of Functional Properties in Heterophase Single Crystals of the Ti36. 5Ni51. 0Hf12. 5 and Ti48. 5Ni51. 5 Alloys,2016.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
L. Casalena; J. M. Sosa; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Revealing Transformation and Deformation Mechanisms in NiTiHf and NiTiAu High Temperature Shape Memory Alloys Through Microstructural Investigations,2016.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Y. Wu; L. Patriarca; G. Li; H. Sehitoglu; Y. Soejima; T. Ito and M. Nishida,Shape Memory and Superelasticity,Shape memory response of polycrystalline NiTi12. 5Hf alloy: transformation at small scales,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Panchenko; N. Surikov; Y. Chumlyakov; A. Eftifeeva; A. Neiman and H. Sehitoglu,Materials Today,Stress-ageing effects on the functional properties of high-strength [001]-oriented Ni51.0Ti37.3Hf12.5 single crystals,2017.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Panchenko; N. Surikov; Y. Chumlyakov; A. Eftifeeva; A. Neiman and H. Sehitoglu,Materials Today,Stress-ageing effects on the functional properties of high-strength [001]-oriented Ni51.0Ti37.3Hf12.5 single crystals,2017.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Panchenko; N. Surikov; Y. Chumlyakov; A. Eftifeeva; A. Neiman and H. Sehitoglu,Materials Today,Stress-ageing effects on the functional properties of high-strength [001]-oriented Ni51.0Ti37.3Hf12.5 single crystals,2017.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Panchenko; N. Surikov; Y. Chumlyakov; A. Eftifeeva; A. Neiman and H. Sehitoglu,Materials Today,Stress-ageing effects on the functional properties of high-strength [001]-oriented Ni51.0Ti37.3Hf12.5 single crystals,2017.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Panchenko; N. Surikov; Y. Chumlyakov; A. Eftifeeva; A. Neiman and H. Sehitoglu,Materials Today,Stress-ageing effects on the functional properties of high-strength [001]-oriented Ni51.0Ti37.3Hf12.5 single crystals,2017.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Panchenko; N. Surikov; Y. Chumlyakov; A. Eftifeeva; A. Neiman and H. Sehitoglu,Materials Today,Stress-ageing effects on the functional properties of high-strength [001]-oriented Ni51.0Ti37.3Hf12.5 single crystals,2017.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Panchenko; N. Surikov; Y. Chumlyakov; A. Eftifeeva; A. Neiman and H. Sehitoglu,Materials Today,Stress-ageing effects on the functional properties of high-strength [001]-oriented Ni51.0Ti37.3Hf12.5 single crystals,2017.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Panchenko; N. Surikov; Y. Chumlyakov; A. Eftifeeva; A. Neiman and H. Sehitoglu,Materials Today,Stress-ageing effects on the functional properties of high-strength [001]-oriented Ni51.0Ti37.3Hf12.5 single crystals,2017.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Panchenko; N. Surikov; Y. Chumlyakov; A. Eftifeeva; A. Neiman and H. Sehitoglu,Materials Today,Stress-ageing effects on the functional properties of high-strength [001]-oriented Ni51.0Ti37.3Hf12.5 single crystals,2017.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Panchenko; N. Surikov; Y. Chumlyakov; A. Eftifeeva; A. Neiman and H. Sehitoglu,Materials Today,Stress-ageing effects on the functional properties of high-strength [001]-oriented Ni51.0Ti37.3Hf12.5 single crystals,2017.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
N. Y. Surikov; A. S. Eftifeeva; E. Y. Panchenko and I. C. Yu,IOP Conference Series: Materials Science and Engineering,Stress-induced martensitic transformation in high-strength [236]-oriented Ni 51 Ti 36.5 Hf 12.5 single crystals,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
N. Y. Surikov; A. S. Eftifeeva; E. Y. Panchenko and I. C. Yu,IOP Conference Series: Materials Science and Engineering,Stress-induced martensitic transformation in high-strength [236]-oriented Ni 51 Ti 36.5 Hf 12.5 single crystals,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
Z. Pu; K. Wu and Y. Liu,International Symposium on Shape Memory Materials,Structure and Properties of NiTi-Hf Rapidly Solidified High Temperature Shape Memory Alloys,1994.0,51.0,32.5,7.06,Ni51.0Ti32.5Hf16.5 %,16.5
Z. Pu; K. Wu and Y. Liu,International Symposium on Shape Memory Materials,Structure and Properties of NiTi-Hf Rapidly Solidified High Temperature Shape Memory Alloys,1994.0,51.0,32.5,7.06,Ni51.0Ti32.5Hf16.5 %,16.5
E. Y. Panchenko; Y. I. Chumlyakov; N. Y. Surikov; H. Maier; G. Gerstein and H. Sehitoglu,Technical Physics Letters,Superelasticity in high-strength heterophase single crystals of Ni51. 0Ti36. 5Hf12. 5 alloy,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Y. Panchenko; Y. I. Chumlyakov; N. Y. Surikov; H. Maier; G. Gerstein and H. Sehitoglu,Technical Physics Letters,Superelasticity in high-strength heterophase single crystals of Ni51. 0Ti36. 5Hf12. 5 alloy,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Y. Panchenko; Y. I. Chumlyakov; N. Y. Surikov; H. Maier; G. Gerstein and H. Sehitoglu,Technical Physics Letters,Superelasticity in high-strength heterophase single crystals of Ni51. 0Ti36. 5Hf12. 5 alloy,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
E. Y. Panchenko; Y. I. Chumlyakov; N. Y. Surikov; H. Maier; G. Gerstein and H. Sehitoglu,Technical Physics Letters,Superelasticity in high-strength heterophase single crystals of Ni51. 0Ti36. 5Hf12. 5 alloy,2015.0,51.0,36.5,7.06,Ni51.0Ti36.5Hf12.5 %,12.5
T. Umale; D. Salas; B. Tomes; R. Arroyave and I. Karaman,Scripta Materialia,The effects of wide range of compositional changes on the martensitic transformation characteristics of NiTiHf shape memory alloys,2019.0,51.0,47.5,7.06,Ni51.0Ti47.5Hf1.5 %,1.5
T. Umale; D. Salas; B. Tomes; R. Arroyave and I. Karaman,Scripta Materialia,The effects of wide range of compositional changes on the martensitic transformation characteristics of NiTiHf shape memory alloys,2019.0,51.0,31.0,7.06,Ni51.0Ti31.0Hf18.0 %,18.0
T. Umale; D. Salas; B. Tomes; R. Arroyave and I. Karaman,Scripta Materialia,The effects of wide range of compositional changes on the martensitic transformation characteristics of NiTiHf shape memory alloys,2019.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
T. Umale; D. Salas; B. Tomes; R. Arroyave and I. Karaman,Scripta Materialia,The effects of wide range of compositional changes on the martensitic transformation characteristics of NiTiHf shape memory alloys,2019.0,51.0,24.0,7.06,Ni51.0Ti24.0Hf25.0 %,25.0
T. Umale; D. Salas; B. Tomes; R. Arroyave and I. Karaman,Scripta Materialia,The effects of wide range of compositional changes on the martensitic transformation characteristics of NiTiHf shape memory alloys,2019.0,51.0,19.0,7.06,Ni51.0Ti19.0Hf30.0 %,30.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
L. Casalena; D. R. Coughlin; F. Yang; X. Chen; H. Paranjape; Y. Gao; R. D. Noebe; G. S. Bigelow; D. Gaydosh; S. A. P. II; Y. Wang; P. M. Anderson and M. J. Mills,Microscopy and Microanalysis,Transformation and deformation characterization of NiTiHf and NiTiAu high temperature shape memory alloys,2015.0,51.0,29.0,7.06,Ni51.0Ti29.0Hf20.0 %,20.0
S. Saghaian; H. Karaca; H. Tobe; J. Pons; R. Santamarta; Y. Chumlyakov and R. Noebe,Smart Materials and Structures,Effects of Ni content on the shape memory properties and microstructure of Ni-rich NiTi-20Hf alloys,2016.0,51.2,28.8,7.072,Ni51.2Ti28.8Hf20.0 %,20.0
L. Patriarca; Y. Wu; H. Sehitoglu and Y. I. Chumlyakov,Scripta Materialia,High temperature shape memory behavior of Ni50.3Ti25Hf24.7 single crystals,2016.0,51.2,23.4,7.072,Ni51.2Ti23.4Hf25.4 %,25.4
L. Patriarca; H. Sehitoglu; E. Y. Panchenko and Y. I. Chumlyakov,Acta Materialia,High-temperature functional behavior of single crystal Ni51.2Ti23.4Hf25.4 shape memory alloy,2016.0,51.2,23.4,7.072,Ni51.2Ti23.4Hf25.4 %,25.4
L. Patriarca; H. Sehitoglu; E. Y. Panchenko and Y. I. Chumlyakov,Acta Materialia,High-temperature functional behavior of single crystal Ni51.2Ti23.4Hf25.4 shape memory alloy,2016.0,51.2,23.4,7.072,Ni51.2Ti23.4Hf25.4 %,25.4
L. Patriarca; H. Sehitoglu; E. Y. Panchenko and Y. I. Chumlyakov,Acta Materialia,High-temperature functional behavior of single crystal Ni51.2Ti23.4Hf25.4 shape memory alloy,2016.0,51.2,23.4,7.072,Ni51.2Ti23.4Hf25.4 %,25.4
L. Patriarca; H. Sehitoglu; E. Y. Panchenko and Y. I. Chumlyakov,Acta Materialia,High-temperature functional behavior of single crystal Ni51.2Ti23.4Hf25.4 shape memory alloy,2016.0,51.2,23.4,7.072,Ni51.2Ti23.4Hf25.4 %,25.4
L. Patriarca; H. Sehitoglu; E. Y. Panchenko and Y. I. Chumlyakov,Acta Materialia,High-temperature functional behavior of single crystal Ni51.2Ti23.4Hf25.4 shape memory alloy,2016.0,51.2,23.4,7.072,Ni51.2Ti23.4Hf25.4 %,25.4
L. Patriarca; H. Sehitoglu; E. Y. Panchenko and Y. I. Chumlyakov,Acta Materialia,High-temperature functional behavior of single crystal Ni51.2Ti23.4Hf25.4 shape memory alloy,2016.0,51.2,23.4,7.072,Ni51.2Ti23.4Hf25.4 %,25.4
